year,sex,reach,phi,esc_lgr,escapement
2010,F,LGR to GRS,0.5277636992481476,26555,14014.765033534559
2010,M,LGR to GRS,0.17970523715487735,16184,2908.349558114535
2011,F,LGR to GRS,0.646197734323303,29542,19089.973467379015
2011,M,LGR to GRS,0.26363747685735445,14591,3846.7344248256586
2012,F,LGR to GRS,0.7037519344524399,26889,18923.185765491657
2012,M,LGR to GRS,0.31771641295707,12549,3987.0232661982714
2013,F,LGR to GRS,0.5579901097252391,15773,8801.178000696196
2013,M,LGR to GRS,0.19837114632565303,7370,1461.9953484200628
2014,F,LGR to GRS,0.7729951010124898,13918,10758.545815891834
2014,M,LGR to GRS,0.40030034193715286,11437,4578.235010735218
2015,F,LGR to GRS,0.58409991363507,30652,17903.830552742165
2015,M,LGR to GRS,0.21587177649943967,15137,3267.651080872018
2016,F,LGR to GRS,0.5356624500777819,23204,12429.511491604851
2016,M,LGR to GRS,0.18442921105690244,10732,1979.2942930626768
2017,F,LGR to GRS,0.6495807718360748,11694,7596.197545851059
2017,M,LGR to GRS,0.26652646029137145,3882,1034.655718851104
2018,F,LGR to GRS,0.7578580946938654,6999,5304.248804762365
2018,M,LGR to GRS,0.3802369223326838,3721,1414.8615879999165
2019,F,LGR to GRS,0.7936508656675688,5291,4199.206730247107
2019,M,LGR to GRS,0.4298554675134206,2779,1194.5683442197958
2020,F,LGR to GRS,0.7118254493892805,6213,4422.5715170555995
2020,M,LGR to GRS,0.3262382539613099,3421,1116.0610668016411
2021,F,LGR to GRS,0.4884985474999333,12031,5877.126024971698
2021,M,LGR to GRS,0.15768842711455452,3447,543.5520082638694
2022,F,LGR to GRS,0.7768842024869768,6238,4846.203655113761
2022,M,LGR to GRS,0.40566521343088713,3569,1447.819146734836
2023,F,LGR to GRS,0.6111282849679488,10418,6366.734472796091
2023,M,LGR to GRS,0.23550964094410012,3213,756.6924763533937
2024,F,LGR to GRS,0.7548666172811652,9395,7091.971869356547
2024,M,LGR to GRS,0.376418863366071,5932,2232.9166974875334
