year,sex,estimate,se,lcl,ucl
2010,F,0.04932440642739332,0.018905333142682387,0.02300049293156723,0.10261165529114087
2010,M,0.06044980970654465,0.02366665267345371,0.0276439055531161,0.12709867238061343
2011,F,0.05646843269375396,0.010720025891658337,0.038779756258038395,0.08154103103727588
2011,M,0.06908810917831376,0.015549380232116454,0.044165117517416655,0.10650830084311545
2012,F,0.062206715566925905,0.01023858375792696,0.04491360271898748,0.08556171673402593
2012,M,0.07600549179168843,0.015317009763922933,0.05091308582559057,0.11200519585554199
2013,F,0.03409187273273896,0.008511956675492215,0.02082310965234014,0.05533783627661541
2013,M,0.04193303845104563,0.011516490758055335,0.02434699885401105,0.07129341251045267
2014,F,0.0994859055943497,0.012272179981240408,0.07788486820162405,0.12625760121420512
2014,M,0.12049152518334008,0.019363685256720477,0.08739066725544377,0.163878569587472
2015,F,0.04487309785027953,0.009877596476833216,0.02903703337262815,0.06873436796450257
2015,M,0.05505262454374836,0.013223536098148747,0.03418926772778346,0.08749409190996123
2016,F,0.09193091344169536,0.012952969346755076,0.06949949709812024,0.12066337544439133
2016,M,0.1115389398634335,0.019387662078810645,0.07881380573118704,0.1555576442477384
2017,F,0.05564730076777603,0.009617991080642986,0.03953650700902574,0.0777913856539177
2017,M,0.06809671325534482,0.014356828002200298,0.044799580768543554,0.10221265360021557
2018,F,0.04755196049563751,0.009056516807779686,0.032636542170679524,0.06879916278533811
2018,M,0.058302096053594564,0.013031542733585023,0.03742532259590403,0.08973875693502707
2019,F,0.06659104839094908,0.011093104734100292,0.04787629371603864,0.09191514603498588
2019,M,0.08127807371634166,0.016089539065056918,0.054814435083944214,0.1189106488351832
2020,F,0.24323302529943253,0.02234604697355461,0.20213913180454027,0.2896482693694082
2020,M,0.28498450801332,0.037296958339003095,0.21778520463267237,0.36328866059748427
2021,F,0.4123568326991,0.034714372863734265,0.3463734127894151,0.48164753596507903
2021,M,0.4652897260926107,0.049987415761416805,0.36984917688718344,0.5633414431464925
2022,F,0.32711426547979605,0.02947082621380989,0.27215974549028943,0.38726115093402813
2023,F,0.4342707843981731,0.03636454840631863,0.36480738074587393,0.5064157203579236
2023,M,0.4876821866214582,0.050075667613768964,0.39123762280194607,0.5850527037800489
2024,F,0.20299802316261079,0.018990693031417132,0.16830005566501255,0.2427615520916453
2024,M,0.2400336810595629,0.032224082137352845,0.1826151356144582,0.30868791962080017
2022,M,0.37610823706071816,0.04348171434922088,0.29540089412566656,0.4643346048200137
